Well,Light cond.,Line #,gFW,RawLum,LumNegCtrl,RawLum/gFW,mg Luc/gFW
B1,2,8,0.0778,86522.4,86447.3998,3430452.373,0.00017409
B2,2,8,0.0721,80837.6,80762.5998,678677.3092,0.000175499
B3,2,8,0.0542,75976.2,75901.1998,1505976.187,0.000219407
B4,2,27,0.0411,53658.9,53583.8998,113285.2004,0.000204264
B5,2,27,0.0562,113918.0,113842.9998,643180.7898,0.000317373
B6,2,37,0.0671,195599.0,195523.9998,977619.999,0.000456539
B7,2,37,0.0734,130458.0,130382.9998,617928.909,0.000278308
B8,2,37,0.0896,94927.1,94852.0998,592825.6238,0.000165859
C1,10,8,0.0744,167680.0,167604.9998,1537660.549,0.000352951
C2,10,8,0.0512,150685.0,150609.9998,1185905.51,0.000460876
C3,10,8,0.102,273395.0,273319.9998,4331537.239,0.000419828
C4,10,27,0.0424,294552.0,294476.9998,3312452.191,0.001088143
C5,10,27,0.0407,238787.0,238711.9998,1217918.366,0.000918925
C6,10,27,0.0377,393588.0,393512.9998,1967564.999,0.001635378
C7,10,37,0.135,252450.0,252374.9998,1705236.485,0.000292896
C8,10,37,0.0995,41026.2,40951.1998,248189.0897,6.44828e-05
D1,10,37,0.0665,64539.2,64464.1998,344728.3412,0.000151879
D2,15,8,0.0617,89897.1,89822.0998,646202.1568,0.000228086
D3,15,8,0.0404,142296.0,142220.9998,1777762.498,0.000551547
D4,15,8,0.0967,261715.0,261639.9998,6070533.638,0.000423914
D5,15,27,0.0218,109579.0,109503.9998,3674630.866,0.000786998
D6,15,27,0.0409,150191.0,150115.9998,750579.999,0.000575048
D7,15,27,0.0542,185485.0,185409.9998,1835742.572,0.000535962
D8,15,37,0.0799,18423.6,18348.5998,85741.12056,3.59796e-05
E1,15,37,0.0529,53273.3,53198.2998,211945.4175,0.000157559
E2,15,37,0.131,89852.8,89777.7998,347975.9682,0.000107374
E3,20,8,0.0255,65766.6,65691.5998,393362.8731,0.000403617
E4,20,8,0.0391,126782.0,126706.9998,2111783.33,0.00050772
E5,20,8,0.0595,161117.0,161041.9998,2684033.33,0.000424055
E6,20,27,0.02,307937.0,307861.9998,5507370.301,0.002411717
E7,20,27,0.027,350202.0,350126.9998,3501269.998,0.002031712
E8,20,27,0.0322,229108.0,229032.9998,835886.8606,0.001114404
F1,20,37,0.0644,53362.7,53287.6998,471572.5646,0.000129641
F2,20,37,0.0532,100868.0,100792.9998,376093.2828,0.000296838
F3,20,37,0.0626,96971.7,96896.6998,403736.2492,0.000242513
F4,52,8,0.0592,202384.0,202308.9998,1434815.601,0.000535419
F5,52,8,0.0531,256415.0,256339.9998,12383574.87,0.000756349
F6,52,8,0.0564,224377.0,224301.9998,12392375.68,0.000623095
F7,52,27,0.0353,378227.0,378151.9998,2572462.584,0.001678387
F8,52,27,0.0661,523545.0,523469.9998,1744899.999,0.001240768
G1,52,27,0.0262,426948.0,426872.9998,1301442.073,0.002552688
G2,52,37,0.148,164083.0,164007.9998,1223940.297,0.000173622
G3,52,37,0.0748,137631.0,137555.9998,790551.723,0.000288123
G4,52,37,0.0679,123607.0,123531.9998,646764.3969,0.000285043
