Well,Light cond.,Line #,gFW,RawLum,LumNegCtrl,RawLumNegCtrl/gFW,mg Luc/gFW
B1,00:10,8,0.0252,62.0002,-50.9998,-2023.801587,-2.8e-06
B2,00:10,8,0.119,6764.83,6651.83,55897.73109,7.74e-05
B3,00:10,8,0.0504,1375.08,1262.08,25041.26984,3.47e-05
B4,00:10,27,0.473,53017.2,52904.2,111848.203,0.000155
B5,00:10,27,0.177,47045.4,46932.4,265154.8023,0.000367
B6,00:10,27,0.2,50574.1,50461.1,252305.5,0.000349
B7,00:10,37,0.211,45624.1,45511.1,215692.4171,0.000299
B8,00:10,37,0.16,6731.81,6618.81,41367.5625,5.73e-05
C1,00:10,37,0.109,1012.04,899.04,8248.073394,1.14e-05
C2,10:10,8,0.127,12646.4,12533.4,98688.18898,0.000137
C3,10:10,8,0.0631,429.007,316.007,5008.034865,6.94e-06
C4,10:10,8,0.0889,9945.96,9832.96,110606.9741,0.000153
C5,10:10,27,0.196,41016.2,40903.2,208689.7959,0.000289
C6,10:10,27,0.2,117302.0,117189.0,585945.0,0.000812
C7,10:10,27,0.148,11502.3,11389.3,76954.72973,0.000107
C8,10:10,37,0.165,9064.29,8951.29,54250.24242,7.51e-05
D1,10:10,37,0.187,26406.9,26293.9,140609.0909,0.000195
D2,10:10,37,0.139,54.0001,-58.9999,-424.4597122,-5.88e-07
D3,10:05,8,0.08,1021.04,908.04,11350.5,1.57e-05
D4,10:05,8,0.0431,56.0001,-56.9999,-1322.50348,-1.83e-06
D5,10:05,8,0.0298,38443.0,38330.0,1286241.611,0.00178
D6,10:05,27,0.2,129759.0,129646.0,648230.0,0.000898
D7,10:05,27,0.101,4324.75,4211.75,41700.49505,5.78e-05
D8,10:05,27,0.214,100781.0,100668.0,470411.215,0.000652
E1,10:05,37,0.251,146953.0,146840.0,585019.9203,0.00081
E2,10:05,37,0.258,53769.4,53656.4,207970.5426,0.000288
E3,10:05,37,0.167,183457.0,183344.0,1097868.263,0.00152
E4,10:02,8,0.06,57604.4,57491.4,958190.0,0.00133
E5,10:02,8,0.06,2331.22,2218.22,36970.33333,5.12e-05
E6,10:02,8,0.0559,1322.07,1209.07,21629.15921,3e-05
E7,10:02,27,0.1,55582.3,55469.3,554693.0,0.000768
E8,10:02,27,0.274,106375.0,106262.0,387817.5182,0.000537
F1,10:02,27,0.113,193513.0,193400.0,1711504.425,0.00237
F2,10:02,37,0.268,215804.0,215691.0,804817.1642,0.00111
F3,10:02,37,0.24,68684.2,68571.2,285713.3333,0.000396
F4,10:02,37,0.141,49157.5,49044.5,347833.3333,0.000482
F5,10:00,8,0.0207,85.0003,-27.9997,-1352.642512,-1.87e-06
F6,10:00,8,0.0181,105.0,-8.0,-441.9889503,-6.12e-07
F7,10:00,8,0.147,239043.0,238930.0,1625374.15,0.00225
F8,10:00,27,0.3,320028.0,319915.0,1066383.333,0.00148
G1,10:00,27,0.328,187578.0,187465.0,571539.6341,0.000792
G2,10:00,27,0.134,22399.1,22286.1,166314.1791,0.00023
G3,10:00,37,0.174,186875.0,186762.0,1073344.828,0.00149
G4,10:00,37,0.191,144308.0,144195.0,754947.644,0.00105
G5,10:00,37,0.187,6555.72,6442.72,34453.04813,4.77e-05
