Well,Day,Line #,gFW,RawLum,LumNegCtrl,LumNegCtrl/gFW,Luc/gFW,Unnamed: 8,Unnamed: 9
B1,0,8,0.023,12865.6,12783.5997,555808.6826,7.11e-05,,
B2,0,8,0.0295,934.035,852.0347,28882.5322,3.7e-06,,
B3,0,8,0.045,12849.6,12767.5997,283724.4378,3.63e-05,,
B4,0,27,0.00813,66.0002,-16.0001,-1968.03198,-2.52e-07,,
B5,0,27,0.02791,29166.0,29083.9997,1042063.766,0.000133325,,
B6,0,27,0.0134,6042.46,5960.4597,444810.4254,5.69e-05,,
B7,0,37,0.18,88594.9,88512.8997,491738.3317,6.29e-05,,
B8,0,37,0.0906,75679.4,75597.3997,834408.3852,0.000106757,,
C1,0,37,0.0939,70644.1,70562.0997,751460.0607,9.61e-05,,
C2,1,8,0.00226,17525.3,17443.2997,7718274.204,0.0009875,,
C3,1,8,0.103,224562.0,224479.9997,2179417.473,0.000278841,,
C4,1,8,0.0991,199667.0,199584.9997,2013975.779,0.000257674,,
C5,1,27,0.037,186088.0,186005.9997,5027189.181,0.000643194,,
C6,1,27,0.22,406371.0,406288.9997,1846768.18,0.000236281,,
C7,1,27,0.0339,96270.3,96188.2997,2837412.971,0.000363027,,
C8,1,37,0.119,470215.0,470132.9997,3950697.476,0.000505464,,
D1,1,37,0.3,287141.0,287058.9997,956863.3323,0.000122424,,
D2,1,37,0.058,222629.0,222546.9997,3837017.236,0.00049092,,
D3,2,8,0.0243,5880.38,5798.3797,238616.4486,3.05e-05,,
D4,2,8,0.139,214631.0,214548.9997,1543517.983,0.000197482,,
D5,2,8,0.123,142515.0,142432.9997,1157991.867,0.000148157,,
D6,2,27,0.114,295871.0,295788.9997,2594640.348,0.000331966,,
D7,2,27,0.15,309756.0,309673.9997,2064493.331,0.000264138,,
D8,2,27,0.0577,104416.0,104333.9997,1808214.899,0.000231349,,
E1,2,37,0.175,782221.0,782138.9997,4469365.713,0.000571824,,
E2,2,37,0.185,554082.0,553999.9997,2994594.593,0.000383138,,
E3,2,37,0.158,463350.0,463267.9997,2932075.947,0.000375139,,
E4,3,8,0.019,31259.0,31176.9997,1640894.721,0.000209941,,
E5,3,8,0.189,179953.0,179870.9997,951698.4111,0.000121763,,
E6,3,8,0.123,218003.0,217920.9997,1771715.445,0.000226679,,
E7,3,27,0.0834,237125.0,237042.9997,2842242.203,0.000363645,,
E8,3,27,0.183,459071.0,458988.9997,2508136.61,0.000320899,,
F1,3,27,0.0509,210306.0,210223.9997,4130137.519,0.000528423,,
F2,3,37,0.0938,642207.0,642124.9997,6845682.3,0.000875858,,
F3,3,37,0.0427,524963.0,524880.9997,12292295.07,0.001572714,,
F4,3,37,0.107,604651.0,604568.9997,5650177.567,0.000722901,,
F5,6,8,0.0866,25608.2,25526.1997,294759.8118,3.77e-05,,
F6,6,8,0.113,61112.0,61029.9997,540088.4929,6.91e-05,,
F7,6,8,0.186,172333.0,172250.9997,926080.6435,0.000118486,,
F8,6,27,0.255,159319.0,159236.9997,624458.8224,7.99e-05,,
G1,6,27,0.243,267315.0,267232.9997,1099724.279,0.000140702,,
G2,6,27,0.0875,63729.1,63647.0997,727395.4251,9.31e-05,,
G3,6,37,0.107,306317.0,306234.9997,2862009.343,0.000366174,,
G4,6,37,0.179,367297.0,367214.9997,2051480.445,0.000262473,,
G5,6,37,0.0786,187109.0,187026.9997,2379478.368,0.000304438,,
