Line #,Amount PHB [mg],% PHB/gFW
T2,0.002108251,0.000920634
T2,0.000769399,0.000290339
T1,0.002969151,0.000899743
T1,0.000168503,8.467487437185928e-05
25,0.008249541,0.008435113
25,0.012327659,0.012452180808080807
25,0.010505873,0.007612951
18,0.005605802,0.017038911854103344
18,0.004520431,0.01051263
18,0.00379267,0.015417357723577236
T1,0.000874182,0.000340149
T2,0.001159774,0.0009746
T1,0.002371874,0.000878472
T2,0.000777753,0.000278765
T2,0.001824603,0.000810935
25,0.011394444,0.011394444
18,0.00284423,0.010342654545454546
25,0.009290521,0.011613151249999999
25,0.009168101,0.00825955
18,0.0049602,0.016534
T1,0.001453856,0.000781643
T2,0.001488626,0.001162989
T1,0.000934533,0.000785322
18,0.004196586,0.007076874
18,0.011665678,0.053758885
03,0.079054045,0.054898642
03,0.106045479,0.12050622613636365
03,0.171948299,0.17545744795918367
03,0.075008607,0.038864563
03,0.035033869,0.014417230041152267
03,0.085490931,0.038859514
03,0.101905771,0.060658197
