Line #,Day,Amount PHB [mg],% PHB/gFW
112,15,0.079691447,0.032263743724696356
112,0,0.004836145,0.024060423
43,9,0.017460962,0.01396877
88,9,0.039088629,0.032039859836065575
112,9,0.045972514,0.047296825
43,6,0.015314619,0.016205946
112,6,0.025665867,0.046835524
88,6,0.022303865,0.026086391812865494
112,3,0.011400617,0.056438698
88,3,0.009191287,0.031156905084745765
43,3,0.005007611,0.020522995901639345
43,0,0.003035866,0.010881240143369175
43,0,0.002563567,0.012092297169811321
88,3,0.006178229,0.025217261224489796
43,3,0.006297175,0.016659193121693124
88,0,0.004426767,0.015005989830508477
112,0,0.00417599,0.012210497076023393
88,0,0.004698617,0.019256627
112,0,0.00733409,0.018153688
43,6,0.009678541,0.021507868888888892
88,6,0.034191963,0.027574164
112,6,0.046020673,0.054851815256257444
112,9,0.063253409,0.041342097
43,12,0.035389243,0.015188516309012877
43,15,0.058058195,0.024190914583333334
43,15,0.025053909,0.042900529
88,15,0.036077326,0.030574005084745764
43,15,0.021999345,0.021153216346153848
112,15,0.072886113,0.055638254198473285
88,15,0.086733167,0.047655586
88,12,0.086361055,0.038554042410714286
112,3,0.013211317,0.04090191
112,9,0.068954918,0.038738718
112,9,0.038399696,0.032820253
88,9,0.036382296,0.025265483
88,9,0.051267634,0.025254992118226596
43,9,0.013195875,0.013329166666666665
43,9,0.022663949,0.013652981325301202
43,12,0.027410326,0.017570721794871794
43,12,0.017330086,0.022390291989664086
88,12,0.090290512,0.039256744347826084
88,12,0.071487929,0.041562749
88,0,0.003744225,0.017334374999999996
88,3,0.009886553,0.029959251515151508
112,3,0.010132565,0.042573803
43,3,0.004679337,0.020889897321428576
112,6,0.02466046,0.033056916890080425
43,6,0.0094841,0.013063498622589532
88,6,0.00717141,0.025430531914893615
112,12,0.07082002,0.027238469230769228
112,12,0.071625593,0.028310511067193674
88,15,0.051699601,0.041359681
43,0,0.002349329,0.007097671
112,12,0.071432573,0.032918236
18,0,0.003781451,0.011389912650602409
25,0,0.00710388,0.021858092307692308
3,0,0.007784309,0.027123028
25,3,0.003414341,0.012552724264705883
25,3,0.004993086,0.021337974358974356
18,3,0.003203458,0.01601729
3,12,0.002298088,0.001574033
18,12,0.005369729,0.002365519
3,15,0.08525866,0.062232599
18,15,0.011212698,0.005443057
25,15,0.037304045,0.019032676020408163
25,0,0.005086865,0.015005501474926256
3,3,0.002009763,0.008892757
3,6,0.014401327,0.019863899
3,6,0.002803366,0.006120886
25,6,0.004993782,0.0091294
18,6,0.004920964,0.007898819
3,9,0.01373108,0.046388784
25,9,0.006947286,0.018981655737704918
18,9,0.006556017,0.003767826
3,15,0.007068953,0.005890794
18,15,0.008156284,0.003412671
18,15,0.006470482,0.003969621
3,0,0.002404222,0.010878832579185519
18,0,0.003937544,0.009968466
25,0,0.002329965,0.006657043
3,3,0.002122675,0.006760111
18,3,0.002532243,0.005902664
25,3,0.003826883,0.017008369
3,6,0.002042807,0.003577595
18,6,0.004251961,0.005565394
25,6,0.003762749,0.008343124
25,9,0.005132474,0.007570021
3,15,0.004003219,0.001981792
25,15,0.029768952,0.014450947572815535
3,0,0.002806378,0.014540819
18,0,0.00392327,0.009231224
3,9,0.003503702,0.002520649
25,9,0.004650515,0.019137922
18,9,0.004938722,0.002939715
3,12,0.005505626,0.003008539
18,12,0.0099294,0.006664027
25,12,0.009769808,0.008422248
25,15,0.012222873,0.005738438
3,3,0.00222373,0.009796167
18,3,0.002595496,0.006209321
18,6,0.005582945,0.00247033
18,9,0.005955302,0.003007728
18,12,0.004087441,0.003554297
25,12,0.02159459,0.011188906735751295
25,12,0.013528463,0.00659925
25,6,0.003608784,0.00801952
3,12,0.00543975,0.003038966
3,9,0.003338982,0.002671186
112,0bis,0.012323708,0.00581307
112,0bis,0.006310586,0.003871525
43,0bis,0.003204676,0.001863184
88,0bis,0.011572748,0.006767689
112,0bis,0.012652342,0.005000926
43,0bis,0.005552689,0.003154937
88,0bis,0.012694954,0.006975249
88,0bis,0.012013156,0.005693439
43,0bis,0.004046921,0.002086042
