Line #,Area,Condition
#112,25.855,Induction
#112,85.322,Induction
#112,14.727,Induction
#112,188.412,Induction
#112,180.572,Induction
#112,127.433,Induction
#112,221.877,Induction
#112,212.229,Induction
#112,55.243,Induction
#112,164.283,Induction
#112,296.483,Induction
#112,202.597,Induction
#18,90.319,Induction
#18,108.465,Induction
#18,3.895,Induction
#18,1.397,Induction
#18,233.679,Induction
#18,190.664,Induction
#18,158.596,Induction
#18,2.975,Induction
#18,183.005,Induction
#18,76.068,Induction
#18,15.894,Induction
#18,97.452,Induction
#25,75.493,Induction
#25,82.364,Induction
#25,55.325,Induction
#25,38.248,Induction
#25,146.368,Induction
#25,11.226,Induction
#25,71.581,Induction
#25,123.734,Induction
#25,117.028,Induction
#88,217.834,Induction
#88,17.337,Induction
#88,20.237,Induction
#88,22.945,Induction
#88,146.996,Induction
#88,15.302,Induction
#88,17.673,Induction
#88,33.264,Induction
#88,49.575,Induction
#88,32.607,Induction
#88,34.386,Induction
Tak1,386.431,Induction
Tak1,714.659,Induction
Tak1,234.364,Induction
Tak1,364.002,Induction
Tak1,445.899,Induction
Tak1,343.207,Induction
Tak1,137.872,Induction
Tak1,300.785,Induction
Tak1,439.987,Induction
Tak1,413.153,Induction
Tak2,298.422,Induction
Tak2,11.423,Induction
Tak2,410.273,Induction
Tak2,338.922,Induction
Tak2,432.742,Induction
Tak2,861.9,Induction
Tak2,432.216,Induction
Tak2,38.741,Induction
Tak2,153.863,Induction
Tak2,111.801,Induction
Tak2,63.988,Induction
#3,73.331,Induction
#3,6.672,Induction
#3,163.183,Induction
#3,256.809,Induction
#3,193.456,Induction
#3,89.503,Induction
#3,18.382,Induction
#25,51.25,No induction
#25,15.391,No induction
#25,48.54,No induction
#25,13.107,No induction
#25,34.776,No induction
#25,100.956,No induction
#25,62.828,No induction
#25,12.549,No induction
#25,46.131,No induction
#25,42.563,No induction
#25,52.297,No induction
#25,42.472,No induction
#25,41.403,No induction
#18,5.192,No induction
#18,19.721,No induction
#18,3.261,No induction
#18,1.903,No induction
#18,4.108,No induction
#18,3.914,No induction
#18,13.387,No induction
#18,34.092,No induction
#18,9.214,No induction
#18,2.858,No induction
#18,2.7,No induction
#18,6.162,No induction
#18,37.784,No induction
#18,12.575,No induction
#18,5.767,No induction
Tak1,174.426,No induction
Tak1,34.784,No induction
Tak1,199.098,No induction
Tak1,256.106,No induction
Tak1,179.315,No induction
Tak1,0.144,No induction
Tak1,232.185,No induction
Tak1,202.24,No induction
Tak1,219.321,No induction
Tak2,34.825,No induction
Tak2,65.642,No induction
Tak2,40.434,No induction
Tak2,93.263,No induction
Tak2,76.86,No induction
Tak2,62.259,No induction
Tak2,94.592,No induction
#3,10.222,No induction
#3,0.447,No induction
#3,6.918,No induction
#3,0.152,No induction
#3,0.382,No induction
#3,0.716,No induction
#3,50.76,No induction
#3,20.831,No induction
#3,33.974,No induction
#3,18.532,No induction
#3,31.941,No induction
#3,2.837,No induction
#3,6.904,No induction
#3,245.729,No induction
#3,36.889,No induction
#3,25.691,No induction
#3,26.082,No induction
#3,136.463,No induction
#3,64.799,No induction
#3,55.918,No induction
#3,41.308,No induction
#3,31.525,No induction
#3,2.545,No induction
#3,46.929,No induction
#3,3.711,No induction
#3,1.5,No induction
#3,103.772,No induction
#3,4.742,No induction
#3,59.498,No induction
#3,15.255,No induction
#3,34.842,No induction
